datetime,sw_radiation,temp_2m,cloud_cover
2020-05-24 02:00:00,0.0,31.4,98
2020-05-24 03:00:00,0.0,31.3,98
2020-05-24 04:00:00,0.0,30.5,72
2020-05-24 05:00:00,0.0,30.6,24
2020-05-24 06:00:00,22.0,30.5,2
2020-05-24 07:00:00,173.0,30.9,6
2020-05-24 08:00:00,387.0,32.3,6
2020-05-24 09:00:00,600.0,34.3,11
2020-05-24 10:00:00,776.0,36.4,0
2020-05-24 11:00:00,893.0,38.2,9
2020-05-24 12:00:00,887.0,39.3,14
2020-05-24 13:00:00,840.0,40.0,39
2020-05-24 14:00:00,653.0,40.0,56
2020-05-24 15:00:00,413.0,39.9,49
2020-05-24 16:00:00,340.0,39.8,88
2020-05-24 17:00:00,126.0,39.7,86
2020-05-24 18:00:00,61.0,39.0,45
2020-05-24 19:00:00,0.0,38.3,32
2020-05-24 20:00:00,0.0,38.0,23
2020-05-24 21:00:00,0.0,36.9,23
2020-05-24 22:00:00,0.0,33.3,19
2020-05-24 23:00:00,0.0,31.9,10
2020-05-25 00:00:00,0.0,31.2,2
2020-05-25 01:00:00,0.0,30.5,2
2020-05-25 02:00:00,0.0,30.1,1
2020-05-25 03:00:00,0.0,29.9,1
2020-05-25 04:00:00,0.0,29.8,2
2020-05-25 05:00:00,0.0,29.3,75
2020-05-25 06:00:00,22.0,30.0,42
2020-05-25 07:00:00,168.0,31.1,39
2020-05-25 08:00:00,383.0,32.5,51
2020-05-25 09:00:00,599.0,34.4,30
2020-05-25 10:00:00,772.0,36.3,48
2020-05-25 11:00:00,873.0,37.8,5
2020-05-25 12:00:00,909.0,39.0,7
2020-05-25 13:00:00,874.0,39.8,38
2020-05-25 14:00:00,725.0,39.9,44
2020-05-25 15:00:00,493.0,39.7,55
2020-05-25 16:00:00,302.0,39.8,63
2020-05-25 17:00:00,174.0,38.3,47
2020-05-25 18:00:00,52.0,37.8,38
2020-05-25 19:00:00,0.0,37.4,32
2020-05-25 20:00:00,0.0,36.7,38
2020-05-25 21:00:00,0.0,36.2,29
2020-05-25 22:00:00,0.0,32.7,34
2020-05-25 23:00:00,0.0,32.3,53
2020-05-26 00:00:00,0.0,31.5,72
2020-05-26 01:00:00,0.0,30.8,76
2020-05-26 02:00:00,0.0,30.4,73
2020-05-26 03:00:00,0.0,29.9,52
2020-05-26 04:00:00,0.0,29.6,9
2020-05-26 05:00:00,0.0,28.8,8
2020-05-26 06:00:00,22.0,29.1,1
2020-05-26 07:00:00,172.0,30.0,1
2020-05-26 08:00:00,385.0,32.0,43
2020-05-26 09:00:00,568.0,34.2,12
2020-05-26 10:00:00,762.0,36.1,10
2020-05-26 11:00:00,885.0,37.8,7
2020-05-26 12:00:00,908.0,39.1,16
2020-05-26 13:00:00,816.0,40.0,30
2020-05-26 14:00:00,718.0,40.1,48
2020-05-26 15:00:00,491.0,39.2,45
2020-05-26 16:00:00,293.0,36.4,45
2020-05-26 17:00:00,187.0,36.3,29
2020-05-26 18:00:00,62.0,36.6,39
2020-05-26 19:00:00,0.0,36.8,31
2020-05-26 20:00:00,0.0,36.5,29
2020-05-26 21:00:00,0.0,34.9,20
2020-05-26 22:00:00,0.0,34.3,18
2020-05-26 23:00:00,0.0,33.9,13
2020-05-27 00:00:00,0.0,32.8,49
2020-05-27 01:00:00,0.0,32.4,63
